event_id,source_dataset,source_id,event_kind,category,title,summary,datetime_utc,date,countries,target_country,target_name,attacker,weapon,severity,outcome,side,lat,lon,geo_precision,casualties_killed,casualties_injured,interceptions_claimed,source,source_url,classification,content_hash,ingested_at,raw
smap:LUAM-22828359,strikemap_master,LUAM-22828359,strike,,Israeli raid targets Beirut's southern suburb(about 10:10 local time),Jabal Lubnan,2026-03-12T15:07:00+00:00,2026-03-12,"[""lebanon""]",lebanon,Jabal Lubnan,israel,,,,israel,33.845934,35.527584,point,,,1,liveuamap,https://x.com/ALJADEEDNEWS/status/2032111337812193292,kinetic_confirmed,5a783f604d58eccd,2026-06-08T17:10:04.918699+00:00,"{""event_id"": ""LUAM-22828359"", ""location"": ""Jabal Lubnan"", ""date"": ""2026-03-12"", ""datetime_utc"": ""2026-03-12T15:07:00+00:00"", ""country"": ""lebanon"", ""event_kind"": ""strike"", ""side"": ""israel"", ""title"": ""Israeli raid targets Beirut's southern suburb(about 10:10 local time)"", ""source_url"": ""https://x.com/ALJADEEDNEWS/status/2032111337812193292"", ""source"": ""liveuamap"", ""classification"": ""kinetic_confirmed"", ""claimed_count"": 1, ""attributed_side"": ""israel"", ""attribution_method"": ""original"", ""original_side"": ""israel"", ""scrub_version"": ""v1""}"
smap:LUAM-22828357,strikemap_master,LUAM-22828357,strike,,"According to &quot;Lebanon Debate&quot;: The latest Israeli raid on the southern suburbs targeted the Faculty of Sciences at the Lebanese University, and there are reports of two dead.",Jabal Lubnan,2026-03-12T14:46:00+00:00,2026-03-12,"[""lebanon""]",lebanon,Jabal Lubnan,israel,,,,israel,33.82845,35.52322,point,,,1,liveuamap,https://x.com/lebanondebate/status/2032106031296229673,kinetic_confirmed,d2eafc26375707a5,2026-06-08T17:10:04.918699+00:00,"{""event_id"": ""LUAM-22828357"", ""location"": ""Jabal Lubnan"", ""date"": ""2026-03-12"", ""datetime_utc"": ""2026-03-12T14:46:00+00:00"", ""country"": ""lebanon"", ""event_kind"": ""strike"", ""side"": ""israel"", ""title"": ""According to &quot;Lebanon Debate&quot;: The latest Israeli raid on the southern suburbs targeted the Faculty of Sciences at the Lebanese University, and there are reports of two dead."", ""source_url"": ""https://x.com/lebanondebate/status/2032106031296229673"", ""source"": ""liveuamap"", ""classification"": ""kinetic_confirmed"", ""claimed_count"": 1, ""attributed_side"": ""israel"", ""attribution_method"": ""original"", ""original_side"": ""israel"", ""scrub_version"": ""v1""}"
smap:LUAM-22828355,strikemap_master,LUAM-22828355,strike,,Israeli airstrike targets Burj Qalawiya town,"Nabatiyeh Governorate, Lebanon",2026-03-12T14:45:00+00:00,2026-03-12,"[""lebanon""]",lebanon,"Nabatiyeh Governorate, Lebanon",israel,,,,israel,33.25623,35.42215,point,,,1,liveuamap,https://x.com/lebanondebate/status/2032105587639460336,kinetic_confirmed,fe5520a7cfe42aa3,2026-06-08T17:10:04.918699+00:00,"{""event_id"": ""LUAM-22828355"", ""location"": ""Nabatiyeh Governorate, Lebanon"", ""date"": ""2026-03-12"", ""datetime_utc"": ""2026-03-12T14:45:00+00:00"", ""country"": ""lebanon"", ""event_kind"": ""strike"", ""side"": ""israel"", ""title"": ""Israeli airstrike targets Burj Qalawiya town"", ""source_url"": ""https://x.com/lebanondebate/status/2032105587639460336"", ""source"": ""liveuamap"", ""classification"": ""kinetic_confirmed"", ""claimed_count"": 1, ""attributed_side"": ""israel"", ""attribution_method"": ""original"", ""original_side"": ""israel"", ""scrub_version"": ""v1""}"
smap:LUAM-22828352,strikemap_master,LUAM-22828352,strike,,Lebanese Ministry of Health: 12 dead and 28 wounded in the Israeli raid that targeted the Ramlet al-Bayda area in Beirut at dawn,"Bayrut, Beirut Governorate",2026-03-12T14:34:00+00:00,2026-03-12,"[""lebanon""]",lebanon,"Bayrut, Beirut Governorate",israel,,,,israel,33.87388,35.4864,point,,,1,liveuamap,https://x.com/AlakhbarNews/status/2032102931109949937,kinetic_confirmed,b46f440b8e623e59,2026-06-08T17:10:04.918699+00:00,"{""event_id"": ""LUAM-22828352"", ""location"": ""Bayrut, Beirut Governorate"", ""date"": ""2026-03-12"", ""datetime_utc"": ""2026-03-12T14:34:00+00:00"", ""country"": ""lebanon"", ""event_kind"": ""strike"", ""side"": ""israel"", ""title"": ""Lebanese Ministry of Health: 12 dead and 28 wounded in the Israeli raid that targeted the Ramlet al-Bayda area in Beirut at dawn"", ""source_url"": ""https://x.com/AlakhbarNews/status/2032102931109949937"", ""source"": ""liveuamap"", ""classification"": ""kinetic_confirmed"", ""claimed_count"": 1, ""attributed_side"": ""israel"", ""attribution_method"": ""original"", ""original_side"": ""israel"", ""scrub_version"": ""v1""}"
smap:LUAM-22828350,strikemap_master,LUAM-22828350,strike,,"Moments of intense airstrikes targeting sites in the city of Ahvaz in Khuzestan province, southwestern Iran","Khuzestan Province, Iran",2026-03-12T14:31:00+00:00,2026-03-12,"[""saudi""]",saudi,"Khuzestan Province, Iran",us_israel,,,,us_israel,31.33342,48.76282,point,,,1,liveuamap,https://x.com/AlarabyTV/status/2032102222897512574,kinetic_confirmed,042dbef7feaac623,2026-06-08T17:10:04.918699+00:00,"{""event_id"": ""LUAM-22828350"", ""location"": ""Khuzestan Province, Iran"", ""date"": ""2026-03-12"", ""datetime_utc"": ""2026-03-12T14:31:00+00:00"", ""country"": ""saudi"", ""event_kind"": ""strike"", ""side"": ""unknown"", ""title"": ""Moments of intense airstrikes targeting sites in the city of Ahvaz in Khuzestan province, southwestern Iran"", ""source_url"": ""https://x.com/AlarabyTV/status/2032102222897512574"", ""source"": ""liveuamap"", ""classification"": ""kinetic_confirmed"", ""claimed_count"": 1, ""attributed_side"": ""us_israel"", ""attribution_method"": ""geo_rule"", ""original_side"": ""unknown"", ""scrub_version"": ""v1"", ""country_method"": ""coords""}"
smap:LUAM-22828349,strikemap_master,LUAM-22828349,strike,,An Iraqi security source: Two drones targeted the headquarters of the engineering battalion of the 14th Division of the Iraqi Army in Makhmur.,Erbil Governorate,2026-03-12T14:29:00+00:00,2026-03-12,"[""iraq""]",iraq,Erbil Governorate,iran,,,,iran,35.76841,43.59049,point,,,1,liveuamap,https://x.com/AJABreaking/status/2032101659854217628,kinetic_confirmed,be8f1e0d6a97246c,2026-06-08T17:10:04.918699+00:00,"{""event_id"": ""LUAM-22828349"", ""location"": ""Erbil Governorate"", ""date"": ""2026-03-12"", ""datetime_utc"": ""2026-03-12T14:29:00+00:00"", ""country"": ""iraq"", ""event_kind"": ""strike"", ""side"": ""unknown"", ""title"": ""An Iraqi security source: Two drones targeted the headquarters of the engineering battalion of the 14th Division of the Iraqi Army in Makhmur."", ""source_url"": ""https://x.com/AJABreaking/status/2032101659854217628"", ""source"": ""liveuamap"", ""classification"": ""kinetic_confirmed"", ""claimed_count"": 1, ""attributed_side"": ""iran"", ""attribution_method"": ""geo_rule"", ""original_side"": ""unknown"", ""scrub_version"": ""v1""}"
smap:LUAM-22828351,strikemap_master,LUAM-22828351,strike,,"Multiple airstrikes targeted Saqer Camp that hosts PMF militias, southern Baghdad.  The Camp was targeted multiple times by the Israeli Airforce in the recent years",Lebanon,2026-03-12T14:29:00+00:00,2026-03-12,"[""iraq""]",iraq,Lebanon,israel,,,,israel,33.21802,44.44807,point,,,1,liveuamap,https://x.com/Tammuz_Intel/status/2032101669262016965,kinetic_confirmed,dc9c9a590bb2b25e,2026-06-08T17:10:04.918699+00:00,"{""event_id"": ""LUAM-22828351"", ""location"": ""Lebanon"", ""date"": ""2026-03-12"", ""datetime_utc"": ""2026-03-12T14:29:00+00:00"", ""country"": ""iraq"", ""event_kind"": ""strike"", ""side"": ""israel"", ""title"": ""Multiple airstrikes targeted Saqer Camp that hosts PMF militias, southern Baghdad.  The Camp was targeted multiple times by the Israeli Airforce in the recent years"", ""source_url"": ""https://x.com/Tammuz_Intel/status/2032101669262016965"", ""source"": ""liveuamap"", ""classification"": ""kinetic_confirmed"", ""claimed_count"": 1, ""attributed_side"": ""israel"", ""attribution_method"": ""original"", ""original_side"": ""israel"", ""scrub_version"": ""v1""}"
smap:LUAM-22828348,strikemap_master,LUAM-22828348,strike,,"The Israeli army issues an evacuation warning for a building in central Beirut, ahead of an airstrike against Hezbollah. &quot;Urgent warning to the residents of Beirut, specifically the Bashoura neighborhood&quot;","Bayrut, Beirut Governorate",2026-03-12T14:25:00+00:00,2026-03-12,"[""lebanon""]",lebanon,"Bayrut, Beirut Governorate",israel,,,,israel,33.88966,35.50543,point,,,1,liveuamap,https://x.com/manniefabian/status/2032100700591690165,kinetic_confirmed,7fad1745e02d1eb1,2026-06-08T17:10:04.918699+00:00,"{""event_id"": ""LUAM-22828348"", ""location"": ""Bayrut, Beirut Governorate"", ""date"": ""2026-03-12"", ""datetime_utc"": ""2026-03-12T14:25:00+00:00"", ""country"": ""lebanon"", ""event_kind"": ""strike"", ""side"": ""israel"", ""title"": ""The Israeli army issues an evacuation warning for a building in central Beirut, ahead of an airstrike against Hezbollah. &quot;Urgent warning to the residents of Beirut, specifically the Bashoura neighborhood&quot;"", ""source_url"": ""https://x.com/manniefabian/status/2032100700591690165"", ""source"": ""liveuamap"", ""classification"": ""kinetic_confirmed"", ""claimed_count"": 1, ""attributed_side"": ""israel"", ""attribution_method"": ""original"", ""original_side"": ""israel"", ""scrub_version"": ""v1""}"
smap:LUAM-22828345,strikemap_master,LUAM-22828345,strike,,Israeli aircraft launch an airstrike on the town of Frun and two airstrikes on the town of Majdal Selm,Lebanon,2026-03-12T14:18:00+00:00,2026-03-12,"[""lebanon""]",lebanon,Lebanon,israel,,,,israel,33.29258,35.42706,point,,,1,liveuamap,https://x.com/lebanondebate/status/2032098822671733128,kinetic_confirmed,f2dbf91bcba8c713,2026-06-08T17:10:04.918699+00:00,"{""event_id"": ""LUAM-22828345"", ""location"": ""Lebanon"", ""date"": ""2026-03-12"", ""datetime_utc"": ""2026-03-12T14:18:00+00:00"", ""country"": ""lebanon"", ""event_kind"": ""strike"", ""side"": ""israel"", ""title"": ""Israeli aircraft launch an airstrike on the town of Frun and two airstrikes on the town of Majdal Selm"", ""source_url"": ""https://x.com/lebanondebate/status/2032098822671733128"", ""source"": ""liveuamap"", ""classification"": ""kinetic_confirmed"", ""claimed_count"": 1, ""attributed_side"": ""israel"", ""attribution_method"": ""original"", ""original_side"": ""israel"", ""scrub_version"": ""v1""}"
smap:LUAM-22828353,strikemap_master,LUAM-22828353,strike,,A warning raid targeted the Lebanese University - Faculty of Sciences,Jabal Lubnan,2026-03-12T14:17:00+00:00,2026-03-12,"[""lebanon""]",lebanon,Jabal Lubnan,israel,,,,israel,33.82865,35.5221,point,,,1,liveuamap,https://x.com/kataeb_Ar/status/2032098682791682090,kinetic_confirmed,5e48785c8a17c452,2026-06-08T17:10:04.918699+00:00,"{""event_id"": ""LUAM-22828353"", ""location"": ""Jabal Lubnan"", ""date"": ""2026-03-12"", ""datetime_utc"": ""2026-03-12T14:17:00+00:00"", ""country"": ""lebanon"", ""event_kind"": ""strike"", ""side"": ""unknown"", ""title"": ""A warning raid targeted the Lebanese University - Faculty of Sciences"", ""source_url"": ""https://x.com/kataeb_Ar/status/2032098682791682090"", ""source"": ""liveuamap"", ""classification"": ""kinetic_confirmed"", ""claimed_count"": 1, ""attributed_side"": ""israel"", ""attribution_method"": ""geo_rule"", ""original_side"": ""unknown"", ""scrub_version"": ""v1""}"
