date,count,kind_strike,side_israel,target_mil_true,target_mil_false,target_mil_unknown,kind_unknown,side_iran,kind_intercept,side_us_israel,side_us,kind_mixed
2026-01-27,1,1.0,1.0,1,0,0,,,,,,
2026-02-02,1,,,0,1,0,1.0,1.0,,,,
2026-02-06,1,1.0,1.0,0,1,0,,,,,,
2026-02-09,2,2.0,1.0,1,1,0,,1.0,,,,
2026-02-12,1,1.0,1.0,1,0,0,,,,,,
2026-02-13,1,1.0,1.0,1,0,0,,,,,,
2026-02-14,1,1.0,1.0,1,0,0,,,,,,
2026-02-16,4,4.0,4.0,4,0,0,,,,,,
2026-02-17,1,,1.0,0,1,0,1.0,,,,,
2026-02-19,1,1.0,1.0,1,0,0,,,,,,
2026-02-20,3,3.0,3.0,2,1,0,,,,,,
2026-02-21,1,1.0,1.0,0,1,0,,,,,,
2026-02-26,3,3.0,3.0,0,3,0,,,,,,
2026-02-27,2,2.0,2.0,0,2,0,,,,,,
2026-02-28,142,120.0,3.0,74,68,0,18.0,79.0,4.0,15.0,45.0,
2026-03-01,274,217.0,11.0,71,203,0,41.0,141.0,16.0,2.0,120.0,
2026-03-02,358,237.0,110.0,67,291,0,81.0,159.0,37.0,,89.0,3.0
2026-03-03,297,213.0,128.0,52,245,0,66.0,136.0,16.0,,33.0,2.0
2026-03-04,231,157.0,104.0,39,192,0,52.0,74.0,21.0,,53.0,1.0
